Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
-13.78,14.68,56.5,54,0,4.45,AO,1597007868,Caluquembe
-0.13,-67.09,89.6,62,20,2.24,BR,1597007869,São Gabriel da Cachoeira
21.35,-158.09,84.2,62,75,10.29,US,1597007869,Makakilo City
-26.79,-60.44,85.01,31,0,5.32,AR,1597007366,Presidencia Roque Sáenz Peña
37.46,-122.43,88.0,50,5,10.29,US,1597007869,Half Moon Bay
31.4,30.42,80.6,74,40,9.17,EG,1597007869,Rosetta
-46.28,169.85,50.0,70,91,15.99,NZ,1597007360,Kaitangata
26.12,86.6,80.87,87,100,8.86,IN,1597007870,Supaul
-6.88,112.21,76.06,87,37,7.61,ID,1597007870,Labuhan
20.2,1.01,96.06,12,0,7.09,ML,1597007870,Tessalit
1.33,172.98,84.2,70,20,14.99,KI,1597007870,Bairiki Village
64.5,-165.41,50.0,76,90,3.36,US,1597007871,Nome
58.52,-117.14,71.6,43,20,9.17,CA,1597007871,High Level
-24.57,-51.33,67.37,51,1,0.83,BR,1597007871,Cândido de Abreu
-18.71,-40.4,71.65,65,0,8.88,BR,1597007871,Nova Venécia
-36.83,175.7,51.01,99,10,9.84,NZ,1597007872,Whitianga
41.57,35.91,77.0,73,75,18.34,TR,1597007872,Bafra
-6.24,106.51,78.8,83,20,3.36,ID,1597007872,Cikupa
-6.1,106.64,78.8,83,20,3.36,ID,1597007873,Teluknaga
18.2,-73.75,84.74,72,82,9.78,HT,1597007873,Les Cayes
-35.1,173.78,51.01,3,63,2.82,NZ,1597007873,Kaeo
4.41,32.57,68.31,91,87,2.17,SS,1597007873,Torit
51.55,-108.0,69.01,31,0,11.99,CA,1597007874,Rosetown
45.76,106.27,53.71,75,31,11.07,MN,1597007874,Mandalgovi
42.25,-75.83,84.99,44,1,10.29,US,1597007874,Broome
36.54,61.16,78.8,36,0,2.24,IR,1597007874,Sarakhs
70.37,31.11,50.0,93,75,32.21,NO,1597007351,Vardø
5.79,0.9,75.2,83,20,11.41,GH,1597007875,Anloga
25.52,90.22,75.54,96,100,6.87,IN,1597007825,Tura
