,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
155,35.2,26.25,77.02,75,0,21.45,GR,1597089339,Palekastro
156,18.74,7.39,81.91,62,100,28.83,NE,1597089102,Arlit
157,52.05,29.25,65.08,85,68,3.09,BY,1597089340,Mazyr
158,65.97,29.18,50.0,81,90,8.05,FI,1597089340,Kuusamo
159,-46.28,169.85,46.99,64,56,10.0,NZ,1597089340,Kaitangata
160,-15.2,12.15,63.63,84,67,1.52,AO,1597089340,Mossamedes
161,5.66,-53.78,82.85,77,99,11.27,GF,1597089341,Mana
162,51.61,16.86,77.0,55,100,4.0,PL,1597089341,Rawicz
163,-34.42,19.23,50.0,93,0,12.15,ZA,1597089341,Hermanus
164,51.18,71.45,59.0,87,39,4.47,KZ,1597089342,Nur-Sultan
165,44.37,-100.35,84.99,26,1,5.06,US,1597089342,Pierre
166,63.01,112.47,60.53,52,95,11.41,RU,1597089342,Chernyshevskiy
167,-0.74,-90.35,77.0,65,83,11.41,EC,1597089342,Puerto Ayora
168,-35.33,-72.42,53.74,59,15,11.54,CL,1597089342,Constitución
169,50.02,-125.24,68.0,52,75,11.41,CA,1597089214,Campbell River
170,38.42,-121.42,91.0,30,5,7.05,US,1597089066,Laguna
171,-35.17,173.17,59.67,95,100,12.26,NZ,1597089343,Ahipara
172,-25.4,-70.48,61.68,64,23,3.06,CL,1597089343,Taltal
173,14.35,121.02,80.01,83,100,3.36,PH,1597089344,City of San Pedro
174,65.75,150.85,44.8,84,100,7.67,RU,1597089344,Zyryanka
175,-21.34,55.48,68.0,52,75,8.05,RE,1597089344,Saint-Pierre
176,20.79,-156.47,84.2,62,40,21.92,US,1597089344,Kīhei
177,-3.8,102.27,76.69,91,91,3.94,ID,1597089345,Bengkulu
178,31.87,35.45,68.0,90,94,8.01,PS,1597089345,Jericho
179,-21.21,-159.78,71.6,68,2,8.05,CK,1597089342,Avarua
180,3.94,41.87,85.32,39,86,13.98,KE,1597089345,Mandera
181,25.12,62.33,85.14,85,98,10.18,PK,1597089345,Gwadar
182,-9.08,143.21,77.81,86,92,11.86,PG,1597089346,Daru
183,6.19,-67.49,87.8,58,40,8.05,CO,1597089346,Puerto Carreño
184,47.69,40.1,75.2,41,0,8.95,RU,1597089346,Mayskiy
185,69.7,170.31,39.72,100,100,6.55,RU,1597089346,Pevek
186,58.81,-122.7,64.4,45,75,12.75,CA,1597089347,Fort Nelson
187,-2.54,-57.76,93.16,40,60,2.21,BR,1597089347,Urucará
188,39.05,-27.98,70.63,71,42,10.11,PT,1597089347,Lagoa
189,-33.04,-71.63,69.8,45,37,13.87,CL,1597089095,Valparaíso
190,-33.96,22.46,51.8,76,0,9.17,ZA,1597089348,George
191,29.6,-90.72,95.0,59,40,4.7,US,1597089057,Houma
192,38.89,-76.51,91.0,62,1,12.75,US,1597089348,Mayo
193,4.92,6.26,75.02,82,100,5.68,NG,1597089348,Yenagoa
194,-0.58,117.09,74.12,95,53,1.61,ID,1597089348,Loa Janan
195,71.69,128.87,38.64,84,85,8.61,RU,1597089054,Tiksi
196,-20.78,117.13,65.03,72,0,9.66,AU,1597089349,Roebourne
197,-18.06,13.84,57.42,43,0,3.69,NA,1597089349,Opuwo
198,-2.5,-66.27,88.11,57,91,1.45,BR,1597089349,Fonte Boa
199,-23.85,151.25,50.0,71,0,1.12,AU,1597089350,Gladstone
200,43.75,-81.72,88.0,73,64,3.0,CA,1597089350,Goderich
201,-16.48,-151.75,77.92,64,1,6.33,PF,1597089350,Faanui
202,69.38,178.42,49.59,66,99,11.41,RU,1597089350,Leningradskiy
203,33.19,-82.53,93.0,55,1,4.05,US,1597089350,Avera
204,-33.02,27.91,61.27,66,0,7.34,ZA,1597089351,East London
205,57.47,31.12,55.83,87,0,5.73,RU,1597089351,Poddor'ye
206,58.04,65.27,64.09,98,100,10.6,RU,1597089351,Tavda
207,7.62,-11.83,74.37,88,95,4.29,SL,1597089352,Mattru
208,-43.3,-65.1,47.53,45,88,31.23,AR,1597089352,Rawson
209,70.03,20.97,53.6,87,75,10.29,NO,1597089352,Skjervøy
210,19.73,-155.09,82.4,65,1,4.7,US,1597089352,Hilo
211,13.52,35.77,70.21,81,37,4.12,SD,1597089353,Doka
212,77.48,-69.36,44.31,55,3,5.84,GL,1597089353,Qaanaaq
213,40.91,69.8,77.0,41,22,9.17,UZ,1597089353,Nurobod
214,-34.68,150.87,52.0,89,10,7.81,AU,1597089353,Kiama
215,63.44,-20.27,52.36,95,100,21.74,IS,1597089353,Vestmannaeyjar
216,-29.95,-71.34,60.8,67,100,11.41,CL,1597089354,Coquimbo
217,4.77,33.59,76.77,59,1,5.64,SS,1597089354,Kapoeta
218,-17.71,-39.25,70.47,89,100,5.97,BR,1597089354,Caravelas
219,12.48,-16.55,80.6,88,40,6.93,SN,1597089354,Oussouye
220,-22.35,16.13,53.91,38,0,2.39,NA,1597089354,Otjimbingwe
221,-12.23,136.77,64.4,88,83,3.36,AU,1597089355,Nhulunbuy
222,22.57,59.53,83.12,75,27,8.39,OM,1597089355,Sur
223,-18.32,47.12,50.0,81,0,1.12,MG,1597089355,Ankazobe
224,26.12,127.67,84.2,89,75,14.99,JP,1597089355,Itoman
225,64.38,-173.3,51.8,81,90,8.95,RU,1597089355,Provideniya
226,60.47,166.1,52.07,83,100,5.84,RU,1597089356,Tilichiki
227,-20.73,139.5,41.0,75,0,7.11,AU,1597089356,Mount Isa
228,34.98,139.87,82.99,78,1,13.87,JP,1597089356,Tateyama
229,-8.16,-70.77,91.53,41,95,1.99,BR,1597089356,Tarauacá
230,7.42,81.82,80.94,77,95,2.59,LK,1597089357,Kalmunai
231,72.79,-56.15,41.92,77,7,7.81,GL,1597089357,Upernavik
232,49.78,-74.85,80.6,54,1,14.99,CA,1597089357,Chapais
